,,,,,,,,,,,,,,,,,
,,Table 3:,,,,,,,,,,Table: 25,,,,,
,,PM Peak Period Person Trips By Purpose,,,,,,,,,,Household Size by Sex of Householder,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Trip Purpose,,Trip Volumes,,%,,,,,,,,C-U,COG,Adj. COG,
,,Unchained Work Trips,,,,,,,,,,,,,,,
,,  1. Work-to-Home,,768246,,28.889933,,,,,,,,,,,
,,Chained Work Trips,,,,,,,,,,,,,,,
,,   2. Work-to-Other,,329409,,12.387443,,,,,,,Male,2.94,3.04,2.95,
,,   3. Other-to-Home,,307384,,11.559192,,,,,,,,,,,
,,,   Sub-Total ,636793,,23.946635,,,,,,,Female,1.91,1.74,1.9,
,,   ,,,,,,,,,,,,,,,
,,Afternoon Home to Work Trips,,,,,,,,,,,,,,,
,,   4. Home-to-Work,,50668,,1.9053729,,,,,,,Total,2.63,2.75,2.63,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Nonwork Trips,,,,,,,,,,,,,,,
,,   5. Home-to-Other,,409742,,15.40837,,,,,,,,,,,
,,   6. Other-to-Home,,535648,,20.143072,,,,,,Table: 26,,,,,
,,   7. Other-to-Other,,258120,,9.7066166,,,,,,Distribution of Household Head by Sex,,,,,
,,,   Sub-Total,1203510,,45.258059,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,TOTAL PERSON TRIPS,,2659217,,100,,,,,,,C-U,COG,CENSUS ,Adj. COG,
,,,,,,,,,,,,,,,1980,,
,,Source: 1987/88 Metropolitian Washington Council ,,,,,,,,,,,,,,,
,,              of Governments Household Travel Survey ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Male,68,73.4,72.6,67.3,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Female,30.3,21.5,27.4,30.3,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Table 5:,,,,,,,,,,"Note:  C-U:  M-NCPPC Census Update Survey, 1987",,,,,
,,Trip Coefficients by Purpose,,,,,,,,,,            COG:  1987 COG Household Survey,,,,,
,,(Afternoon Peak Period),,,,,,,,,,            Ajd. COG:  Weight adjustment on COG Survey,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Trip Purpose,,,Variable,Trip,T-Stat.,Adj.,,,,Table 27:,,,,,
,,,,,,Coeff.,,Coeff.,,,,Distribution of Household Size,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Unchained Work Trips,,,,,,,,,,No. of Persons,C-U,COG,Census,Adj. COG,
,,,,,OFFEMP,0.5,22.42,0.5,,,,,,,1980,,
,,Work-to-Home (Origin end),,,OTHEMP,0.355,3.95,0.35,,,,,,,,,
,,,,,RETEMP,0.094,0.47,0.1,,,,,,,,,
,,Chained Work Trips,,,,,,,,,,1,21.5,20.2,21,21.3,
,,,,,OFFEMP,0.193,20.08,0.19,,,,2,34,31.4,30.8,34.2,
,,   Work-to-Other (Origin end),,,OTHEMP,0.156,4.02,0.16,,,,3,18.6,18.2,18.3,18.6,
,,,,,RETEMP,0.011,0.14,0.01,,,,4,16.9,18.3,17.1,15.8,
,,,,,,,,,,,,,,,,,
,,   Work-to-Other (Destination end),,,   POP,0.031,3.2,0.03,,,,5,6.4,8.3,8.4,7.2,
