Table: 1,,,,,,,Table: 2a,,,,,,,,,Table: 3,,,,,,,,,Table: 5,,,,,,,,Table 7:,,,,
1987-88 Home Interview Survey,,,,,,,Number of Male Headed Households and Female Headed Households,,,,,,,,,Trip Purpose Classification,,,,,,,,,"Trip Rates by Purpose, PM Peak Period",,,,,,,,PM Peak Period Normalization Assumptions,,,,
,,,,,,,"by Family Size, and by Dwelling Type",,,,,,,,,,,,,,,,,,Non-Home End,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jurisdiction,,Number of Completed ,,,,,,,,,,,,,Work Trips,,,,,,,,,,,,,,,,,Purpose,,,Origin,Destination
,,,      Samples,,,,No. of Persons,,Single,Town-,Apt.,Other,,,,,,,,,,,,,Purpose,,Variable,Trip,T-Stat.,Adj.,,,,,,,
,,,,,,,,,Family,house,,,,,,1.  Work-to-Home (unlinked work):  All trips made from work to home,,,,,,,,,,,,Rate,,Rate,,,,,,,
,,,,,,,,,,,,,,,,,without any stops on the way.,,,,,,,,,,,,,,,,Work to Home,,,Adjusted,Fixed
,District of Columbia,,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Work to Other (linked),,,Adjusted,Adjusted
,Montgomery County,,1827,,,,MALE,,,,,,,,,2.  Work-to-Other (linked work):  All trips made from work to other,,,,,,,,,Work to Home ,,,,,,,,Other to Home (linked),,,Adjusted,Fixed
,Prince George's County,,992,,,,,,,,,,,,,,"purposes, with home as the ultimate destination.",,,,,,,,(Origin End),,OFFEMP,0.5,22.42,0.5,,,Home to Work,,,Fixed,Adjusted
,Arlington County,,266,,,,1,C-U,4512,2587,10300,,,,,,,,,,,,,,,,OTHEMP,0.355,3.95,0.35,,,Home to Other,,,Adjusted,Fixed
,Alexandria County,,378,,,,,COG,6386,4250,10756,2099,,,,3.  Other-to-Home (linked work):  All work trips made from other ,,,,,,,,,,,RETEMP,0.094,0.47,0.1,,,Other to Home,,,Fixed,Adjusted
,Fairfax County,,1059,,,,,Adj.COG,4285,2463,9798,879,,,,,purpose to home.,,,,,,,,Home to Work (unlinked),,,,,,,,Other to Other,,,Fixed,Adjusted
,Loudoun County,,258,,,,,,(49.0),(72.5),(9.2),,,,,,,,,,,,,,(Destination End),,OFFEMP,0.003,1.1,0,,,,,,,
,Prince William County,,288,,,,,,,,,,,,,4.  Home-to-Work:  All trips originating from home with workplace,,,,,,,,,,,OTHEMP,0.007,0.5,0.01,,,,,,,
,Charles County,,446,,,,2,C-U,38084,8818,15381,,,,,,as the destination.,,,,,,,,,,RETEMP,0.135,4.6,0.14,,,,,,,
,Frederick County,,481,,,,,COG,47744,13390,1151,2308,,,,,,,,,,,,,Work to Other (linked) ,,,,,,,,,,,,
,,,,,,,,Adj.COG,36194,8398,14634,962,,,,Nonwork Trips,,,,,,,,,(Origin End),,OFFEMP,0.193,20.08,0.19,,,,,,,
,Total,,7947,,,,,,(31.9),(59.4),(-23.8),,,,,,,,,,,,,,,,OTHEMP,0.156,4.02,0.16,,,,,,,
,,,,,,,,,,,,,,,,5.  Home-to-Other:  All trips from home to a nonwork destination.,,,,,,,,,,,RETEMP,0.011,0.14,0.01,,,,,,,
,,,,,,,3,C-U,24684,6309,5522,,,,,,,,,,,,,,Work to Other (linked) ,,,,,,,,,,,,
,,,,,,,,COG,34296,8282,4017,919,,,,6.  Other-to-Home:  All trips from a nonwork site to home.,,,,,,,,,(Destination End),,   POP,0.031,3.2,0.03,,,,,,,
,,,,,,,,Adj.COG,23508,6008,5259,287,,,,,,,,,,,,,,,RETEMP,0.557,6.04,0.56,,,,,,,
,,,,,,,,,(45.9),(37.8),(-23.6),,,,,"7.  Other-to-Other:  All other, previously undefined trips.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4+,C-U,46009,7998,4882,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,COG,70938,10602,2473,451,,,,,,,,,,,,,Table: 6,,,,,,,,,,,,
,,,,,,,,Adj.COG,43781,7615,4648,155,,,,,,,,,,,,,"Trip Rates by Purpose, PM Peak Period",,,,,,,,,,,,
,,,,,,,,,(62.0),(39.2),(-46.8),,,,,Table: 4,,,,,,,,,Non-Home End,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PM Peak Period Person Trips By Purpose,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Note 1:  C-U:  M-NCPPC Census Update Survey, 1987",,,,,,,,,,,,,,,,,,Purpose,,Variable,Trip,T-Stat.,Adj.,,,,,,,
,,,,,,,             COG:  1987 COG Household Survey,,,,,,,,,Trip Purpose,,Trip Volumes,,,,,,,,,,Rate,,Rate,,,,,,,
,,,,,,,             Adj. COG:  Weight adjustment on COG Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Note 2:  Figures in parenthesis display the percentage change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,               before and after adjusting the weights,,,,,,,,,Work-to-Home,,768246,,,,,,,Other to Home(linked),,  POP,0.032,3.26,0.03,,,,,,,
,,,,,,,,,,,,,,,,Work-to-Other(link),,329409,,,,,,,(Origin End),,RETEMP,0.485,5.04,0.49,,,,,,,
,,,,,,,Table: 2b,,,,,,,,,Other-to-Work(link),,307384,,,,,,,,,,,,,,,,,,,
,,,,,,,Number of Male Headed Households and Female Headed Households,,,,,,,,,Home-to-Other,,409742,,,,,,,Home to Other (unlinked) ,,,,,,,,,,,,
,,,,,,,"by Family Size, and by Dwelling Type",,,,,,,,,Other-to-Home,,535648,,,,,,,(DestinationEnd),,RETEMP,0.215,1.83,1.1,,,,,,,
,,,,,,,,,,,,,,,,Other-to-Other,,258120,,,,,,,,,  POP,0.103,7.49,0.1,,,,,,,
,,,,,,,,,,,,,,,,Home-to-Work,,50668,,,,,,,,,,,,,,,,,,,
,,,,,,,No. of Persons,,Single,Town-,Apt.,Other,,,,,,,,,,,,,Other to Home (unlinked) ,,,,,,,,,,,,
,,,,,,,,,Family,house,,,,,,,,,,,,,,,(Origin End),,RETEMP,0.224,1.93,1.1,,,,,,,
,,,,,,,,,,,,,,,,Source: 1987/88 Washington Metropolitian Council ,,,,,,,,,,,  POP,0.135,10.52,0.14,,,,,,,
,,,,,,,,,,,,,,,,              of Governments Household Survey ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Female,,,,,,,,,,,,,,,,,,Other to Other (unlinked) ,,,,,,,,,,,,
